mcc,description,classification
3265,Airlines,Pre-Approval
3266,AIR SEYCHELLES,Pre-Approval
3267,AIR PANAMA,Pre-Approval
3268,Airlines,Pre-Approval
3269,Airlines,Pre-Approval
3270,Airlines,Pre-Approval
3271,Airlines,Pre-Approval
3272,Airlines,Pre-Approval
3273,Airlines,Pre-Approval
3274,Airlines,Pre-Approval
3275,Airlines,Pre-Approval
3276,Airlines,Pre-Approval
3277,Airlines,Pre-Approval
3278,Airlines,Pre-Approval
3279,Airlines,Pre-Approval
3280,AIR JAMAICA,Pre-Approval
3281,Airlines,Pre-Approval
3282,AIR DJIBOUTI,Pre-Approval
3283,Airlines,Pre-Approval
3284,AERO VIRGIN ISLANDS,Pre-Approval
3285,AERO PERU,Pre-Approval
3286,AEROLINEAS NICARAGUENSIS,Pre-Approval
3287,AERO COACH AVAIATION,Pre-Approval
3288,Airlines,Pre-Approval
3289,Airlines,Pre-Approval
3290,Airlines,Pre-Approval
3291,ARIANA AFGHAN,Pre-Approval
3292,CYPRUS AIRWAYS,Pre-Approval
3293,ECUATORIANA,Pre-Approval
3294,ETHIOPIAN AIRLINES,Pre-Approval
3295,KENYA AIRLINES,Pre-Approval
3296,Airlines,Pre-Approval
3297,Airlines,Pre-Approval
3298,AIR MAURITIUS,Pre-Approval
3299,WIDERO'S FLYVESELSKAP,Pre-Approval
3351,AFFILIATED AUTO RENTAL,Restricted
3352,AMERICAN INTL RENT-A-CAR,Restricted
3353,BROOKS RENT-A-CAR,Restricted
3354,ACTION AUTO RENTAL,Restricted
3355,Car Rental,Restricted
3356,Car Rental,Restricted
3357,HERTZ RENT-A-CAR,Restricted
3358,Car Rental,Restricted
3359,PAYLESS CAR RENTAL,Restricted
3360,SNAPPY CAR RENTAL,Restricted
3361,AIRWAYS RENT-A-CAR,Restricted
3362,ALTRA AUTO RENTAL,Restricted
3363,Car Rental,Restricted
3364,AGENCY RENT-A-CAR,Restricted
3365,Car Rental,Restricted
3366,BUDGET RENT-A-CAR,Restricted
3367,Car Rental,Restricted
3368,HOLIDAY RENT-A-WRECK,Restricted
3369,Car Rental,Restricted
3370,RENT-A-WRECK,Restricted
3371,Car Rental,Restricted
3372,Car Rental,Restricted
3373,Car Rental,Restricted
3374,Car Rental,Restricted
3375,Car Rental,Restricted
3376,AJAX RENT-A-CAR,Restricted
3377,Car Rental,Restricted
3378,Car Rental,Restricted
3379,Car Rental,Restricted
3380,Car Rental,Restricted
3381,EUROP CAR,Restricted
3382,Car Rental,Restricted
3383,Car Rental,Restricted
3384,Car Rental,Restricted
3385,TROPICAL RENT-A-CAR,Restricted
3386,SHOWCASE RENTAL CARS,Restricted
3387,ALAMO RENT-A-CAR,Restricted
3388,Car Rental,Restricted
3389,AVIS RENT-A-CAR,Restricted
3390,DOLLAR RENT-A-CAR,Restricted
3391,EUROPE BY CAR,Restricted
3392,Car Rental,Restricted
3393,NATIONAL CAR RENTAL,Restricted
3394,KEMWELL GROUP RENT-A-CAR,Restricted
3395,THRIFTY RENT-A-CAR,Restricted
3396,TILDEN TENT-A-CAR,Restricted
3397,Car Rental,Restricted
3398,ECONO-CAR RENT-A-CAR,Restricted
3399,Car Rental,Restricted
3400,AUTO HOST COST CAR RENTALS,Restricted
3401,Car Rental,Restricted
3402,Car Rental,Restricted
3403,Car Rental,Restricted
3404,Car Rental,Restricted
3405,ENTERPRISE RENT-A-CAR,Restricted
3406,Car Rental,Restricted
3407,Car Rental,Restricted
3408,Car Rental,Restricted
3409,GENERAL RENT-A-CAR,Restricted
3410,Car Rental,Restricted
3411,Car Rental,Restricted
3412,A-1 RENT-A-CAR,Restricted
3413,Car Rental,Restricted
3414,GODFREY NATL RENT-A-CAR,Restricted
3415,Car Rental,Restricted
3416,Car Rental,Restricted
3417,Car Rental,Restricted
3418,Car Rental,Restricted
3419,ALPHA RENT-A-CAR,Restricted
3420,ANSA INTL RENT-A-CAR,Restricted
3421,ALLSTAE RENT-A-CAR,Restricted
3422,Car Rental,Restricted
3423,AVCAR RENT-A-CAR,Restricted
3424,Car Rental,Restricted
3425,AUTOMATE RENT-A-CAR,Restricted
3426,Car Rental,Restricted
3427,AVON RENT-A-CAR,Restricted
3428,CAREY RENT-A-CAR,Restricted
3429,INSURANCE RENT-A-CAR,Restricted
3430,MAJOR RENT-A-CAR,Restricted
3431,REPLACEMENT RENT-A-CAR,Restricted
3432,RESERVE RENT-A-CAR,Restricted
3433,UGLY DUCKLING RENT-A-CAR,Restricted
3434,USA RENT-A-CAR,Restricted
